nome,localita_antica,latitudine_antica,longitudine_antica,localita_odierna,latitudine_odierna,longitudine_odierna,divinita1,link_divinita1,divinita2,link_divinita2,divinita3,link_divinita3,divinita4,link_divinita4,epoca,dinastia,faraone1,link_faraone1,faraone2,link_faraone2,faraone3,link_faraone3,faraone4,link_faraone4,faraone5,link_faraone5,faraone6,link_faraone6,faraone7,link_faraone7
Great Temple of Abu Simbel,Abu Simbel,22.337331117385638,31.625831184131634,Abu Simbel,22.337331117385638,31.625831184131634,Amun,https://en.wikipedia.org/wiki/Amun,Re-Horakhty,https://en.wikipedia.org/wiki/Ra#Relationship_to_other_gods,Ptah,https://en.wikipedia.org/wiki/Ptah, , ,New Kingdom,19th dynasty,Ramesses II,https://en.wikipedia.org/wiki/Ramesses_II, , , , , , , , , , , , 
Small Temple of Abu Simbel,Abu Simbel,22.337331117385638,31.625831184131634,Abu Simbel,22.337331117385638,31.625831184131634,Hathor,https://en.wikipedia.org/wiki/Hathor,Nefertari,https://en.wikipedia.org/wiki/Nefertari, , , , ,New Kingdom,19th dynasty,Ramesses II,https://en.wikipedia.org/wiki/Ramesses_II, , , , , , , , , , , , 
Temple of Philae,Philae Island,24.021944,32.888889,Agilkia Island,24.025278,32.884167,Isis,https://en.wikipedia.org/wiki/Isis,, , , , , ,Ptolemaic Kingdom,Ptolemaic Kingdom,Ptolemy II Philadelphus,https://en.wikipedia.org/wiki/Ptolemy_II_Philadelphus,Ptolemy V Epiphanes,https://en.wikipedia.org/wiki/Ptolemy_V_Epiphanes, , , , , , , , , , 
Temple of Amada,Amada,22.73115,32.26261,New Amada,22.73115,32.26261,Amun,https://en.wikipedia.org/wiki/Amun,Re-Horakhty,https://en.wikipedia.org/wiki/Ra#Relationship_to_other_gods, , , , ,New Kingdom,18th - 19th dynasty,Thutmose III,https://en.wikipedia.org/wiki/Thutmose_III,Amenhotep II,https://en.wikipedia.org/wiki/Amenhotep_II,Thutmose IV,https://en.wikipedia.org/wiki/Thutmose_IV,Seti I,https://en.wikipedia.org/wiki/Seti_I,Ramesses II,https://en.wikipedia.org/wiki/Ramesses_II,Merenptah,https://en.wikipedia.org/wiki/Merneptah,Siptah,https://en.wikipedia.org/wiki/Siptah
Temple of Derr,Derr,22.732389,32.262111,New Amada,22.73115,32.26261,Re-Horakhty,https://en.wikipedia.org/wiki/Ra#Relationship_to_other_gods, , , , , , ,New Kingdom,19th dynasty,Ramesses II,https://en.wikipedia.org/wiki/Ramesses_II, , , , , , , , , , , , 
Temple of Kalabsha,Kalabsha,23.6,32.816667,New Kalabsha,23.960833,32.867222,Merur,https://en.wikipedia.org/wiki/Mandulis, , , , , , ,Roman Period,Roman Period,Augustus,https://en.wikipedia.org/wiki/Augustus, , , , , , , , , , , , 
Temple of Gerf Hussein,Gerf Hussein,23.2833,32.9,New Kalabsha,23.960833,32.867222,Ramesses II,https://en.wikipedia.org/wiki/Ramesses_II, , , , , , ,New Kingdom,19th dynasty,Setau,https://en.wikipedia.org/wiki/Setau, , , , , , , , , , , , 
Temple of Beit el-Wali,Beit el-Wali,23.961861,32.866389,New Kalabsha,23.960833,32.867222,Amun-Re,https://en.wikipedia.org/wiki/Amun-Re,Re-Horakhty,https://en.wikipedia.org/wiki/Ra#Relationship_to_other_gods,Khnum,https://en.wikipedia.org/wiki/Khnum,Anuket,https://en.wikipedia.org/wiki/Anuket,New Kingdom,19th dynasty,Ramesses II,https://en.wikipedia.org/wiki/Ramesses_II, , , , , , , , , , , , 
Temple of Dakka,Dakka,22.800997,32.545747,New Wadi es-Sebua,22.800556,32.5475,Thot,https://en.wikipedia.org/wiki/Thoth, , , , , , ,Ptolemaic Kingdom - Roman Period,Ptolemaic Kingdom - Roman Period,Arqamani,https://en.wikipedia.org/wiki/Arqamani,Ptolemy IV,https://en.wikipedia.org/wiki/Ptolemy_IV,Ptolemy IX,https://en.wikipedia.org/wiki/Ptolemy_IX,Augustus,https://en.wikipedia.org/wiki/Augustus,Tiberius,https://en.wikipedia.org/wiki/Tiberius, , , , 
Temple of Maharraqa,Maharraqa,22.800667,32.547597,New Wadi es-Sebua,22.800556,32.5475,Isis,https://en.wikipedia.org/wiki/Isis,Serapis,https://en.wikipedia.org/wiki/Serapis, , , , ,Roman Period,Roman Period,Augustus,https://en.wikipedia.org/wiki/Augustus, , , , , , , , , , , , 
Temples of Wadi es-Sebua,Wadi es-Sebua,22.7932,32.5453,New Wadi es-Sebua,22.800556,32.5475,Nubian form of Horus,https://en.wikipedia.org/wiki/Horus,Amun,https://en.wikipedia.org/wiki/Amun, , , , ,New Kingdom,18th - 19th dynasty,Amenhotep III,https://en.wikipedia.org/wiki/Amenhotep_III,Ramesses II,https://en.wikipedia.org/wiki/Ramesses_II, , , , , , , , , , 
Horemheb temple at Abu Hoda,Abu Oda,22.3,31.6167,Aswan,24.08,32.889444,Amun,https://en.wikipedia.org/wiki/Amun,Thot,https://en.wikipedia.org/wiki/Thoth, , , , ,New Kingdom,18th dynasty,Horemheb,https://en.wikipedia.org/wiki/Horemheb, , , , , , , , , , , , 
Temple of Aksha,Aksha,21.083333,30.716667,Khartoum,15.606,32.508,Ramesses II,https://en.wikipedia.org/wiki/Ramesses_II, , , , , , ,New Kingdom,19th dynasty,Ramesses II,https://en.wikipedia.org/wiki/Ramesses_II, , , , , , , , , , , , 
South Temple,Buhen,21.916667,31.283333,Khartoum,15.606,32.508,Horus of Buhen,https://en.wikipedia.org/wiki/Horus, , , , , , ,New Kingdom,18th dynasty,Hatshepsut,https://en.wikipedia.org/wiki/Hatshepsut,Thutmose III,https://en.wikipedia.org/wiki/Thutmose_III, , , , , , , , , , 
North Temple,Buhen,21.916667,31.283333,Khartoum,15.606,32.508,Isis,https://en.wikipedia.org/wiki/Isis,Min,https://en.wikipedia.org/wiki/Min_(god), , , , ,New Kingdom,18th dynasty,Ahmose,https://en.wikipedia.org/wiki/Ahmose_I,Amenhotep II,https://en.wikipedia.org/wiki/Amenhotep_II, , , , , , , , , , 
Temple of Kumma,Semna,21.5,30.967,Khartoum,15.606,32.508,Khnum,https://en.wikipedia.org/wiki/Khnum,,, , , , ,New Kingdom,18th dynasty,Thutmose II,https://en.wikipedia.org/wiki/Thutmose_II,Hatshepsut,https://en.wikipedia.org/wiki/Hatshepsut,Thutmose III,https://en.wikipedia.org/wiki/Thutmose_III,Amenhotep II,https://en.wikipedia.org/wiki/Amenhotep_II, , , , , , 
Temple of Semna West,Semna,21.5,30.967,Khartoum,15.606,32.508,Dedun,https://en.wikipedia.org/wiki/Dedun,Senusret III,https://en.wikipedia.org/wiki/Senusret_III, , , , ,New Kingdom,18th dynasty,Hatshepsut,https://en.wikipedia.org/wiki/Hatshepsut,Thutmose III,https://en.wikipedia.org/wiki/Thutmose_III, , , , , , , , , , 
Temple of Debod,Debod,24.030896981875422,32.88014326066889,Madrid,40.424053,-3.717778,Amun,https://en.wikipedia.org/wiki/Amun, , , , , , ,Ptolemaic Kingdom,Ptolemaic Kingdom - Roman Period,Adikhalamani,https://en.wikipedia.org/wiki/Adikhalamani,Ptolemy VI,https://en.wikipedia.org/wiki/Ptolemy_VI,Ptolemy VIII,https://en.wikipedia.org/wiki/Ptolemy_VIII,Ptolemy XII,https://en.wikipedia.org/wiki/Ptolemy_XII,Augustus,https://en.wikipedia.org/wiki/Augustus,Tiberius,https://en.wikipedia.org/wiki/Tiberius, , 
Temple of Dendur,Dendur,23.383056,32.95,New York City,40.7794,-73.9631,Isis,https://en.wikipedia.org/wiki/Isis,Pedesi, ,Pihor, , , ,Roman Period,Roman Period,Augustus,https://en.wikipedia.org/wiki/Augustus, , , , , , , , , , , , 
Temple of Taffeh,Taffeh,23.6197,32.8721,Leiden,52.158331,4.485831,Isis,https://en.wikipedia.org/wiki/Isis, , , , , , ,Roman Period,Roman Period,Augustus,https://en.wikipedia.org/wiki/Augustus, , , , , , , , , , , , 
Temple of Ellesyia,Ellesyia,22.622568,31.962662,Turin,45.068333,7.684444,Amun,https://en.wikipedia.org/wiki/Amun,Horus,https://en.wikipedia.org/wiki/Horus,Satet,https://en.wikipedia.org/wiki/Satis_(goddess), , ,New Kingdom,18th dynasty,Thutmose III,https://en.wikipedia.org/wiki/Thutmose_III, , , , , , , , , , , , 